iter	Passed	Remaining
636	51221	93999
637	51306	93928
638	51382	93839
639	51461	93755
640	51539	93672
641	51626	93602
642	51716	93539
643	51791	93449
644	51870	93366
645	51948	93282
646	52028	93200
647	52111	93124
648	52191	93044
649	52272	92964
650	52351	92882
651	52428	92794
652	52510	92717
653	52593	92641
654	52673	92559
655	52751	92476
656	52829	92390
657	52904	92300
658	52985	92221
659	53067	92143
660	53144	92058
661	53223	91976
662	53302	91892
663	53383	91813
664	53466	91737
665	53544	91653
666	53620	91564
667	53699	91482
668	53816	91463
669	53913	91411
670	53993	91329
671	54069	91242
672	54149	91160
673	54230	91081
674	54315	91009
675	54395	90927
676	54475	90845
677	54556	90767
678	54636	90685
679	54716	90603
680	54799	90526
681	54876	90441
682	54955	90358
683	55036	90278
684	55114	90194
685	55197	90118
686	55273	90031
687	55352	89947
688	55432	89867
689	55509	89781
690	55591	89702
691	55672	89623
692	55760	89555
693	55845	89480
694	55921	89394
695	56000	89311
696	56083	89234
697	56161	89150
698	56239	89066
699	56318	88983
700	56399	88904
701	56478	88820
702	56557	88737
703	56633	88650
704	56711	88565
705	56789	88482
706	56865	88395
707	56948	88317
708	57027	88236
709	57107	88154
710	57186	88072
711	57264	87988
712	57343	87905
713	57427	87829
714	57504	87745
715	57582	87661
716	57664	87581
717	57741	87496
718	57823	87418
719	57902	87335
720	57982	87254
721	58062	87173
722	58139	87088
723	58223	87013
724	58306	86937
725	58384	86853
726	58461	86767
727	58539	86683
728	58615	86596
729	58697	86518
730	58772	86430
731	58849	86344
732	58924	86256
733	59004	86176
734	59086	86097
735	59174	86028
736	59252	85944
737	59333	85865
738	59411	85780
739	59487	85694
740	59570	85617
741	59649	85534
742	59728	85452
743	59805	85368
744	59888	85291
745	59976	85221
746	60061	85147
747	60137	85061
748	60214	84975
749	60292	84891
750	60370	84808
751	60451	84728
752	60527	84641
753	60606	84559
754	60685	84477
755	60764	84394
756	60843	84312
757	60925	84234
758	61003	84150
759	61083	84070
760	61163	83989
761	61244	83909
762	61329	83835
763	61410	83756
764	61488	83672
765	61562	83583
766	61642	83502
767	61726	83427
768	61807	83347
769	61884	83263
770	61964	83181
771	62043	83099
772	62126	83023
773	62210	82947
774	62289	82865
775	62369	82783
776	62448	82702
777	62529	82622
778	62614	82548
779	62695	82468
780	62772	82383
781	62850	82300
782	62930	82219
783	63012	82141
784	63086	82053
785	63165	81970
786	63244	81888
787	63323	81806
788	63401	81723
789	63485	81647
790	63563	81564
791	63641	81479
792	63719	81397
793	63796	81312
794	63876	81231
